KRAJ;LICZBA LUDNOSCI;SREDNIA TEMPERATURA;KLIMAT;SASIEDZI
Colombia;50882891;24.8;Tropical;Panama, Venezuela, Brazil, Peru, Ecuador
Comoros;869601;25.9;Tropical;None
Congo;89561403;23.8;Tropical;Central African Republic, Sudan, South Sudan, Uganda, Rwanda, Burundi, Tanzania, Zambia, Angola
Costa Rica;5094114;23.7;Tropical;Nicaragua, Panama
Croatia;4105267;12.0;Mediterranean;Slovenia, Hungary, Serbia, Bosnia and Herzegovina, Montenegro
Cuba;11326616;25.8;Tropical;United States, Bahamas, Haiti, Jamaica, Mexico
Cyprus;1207359;20.6;Mediterranean;Turkey, United Kingdom
Czech Republic;10708981;9.7;Continental;Germany, Poland, Slovakia, Austria
Democratic Republic of the Congo;89561403;23.8;Tropical;Central African Republic, Sudan, South Sudan, Uganda, Rwanda, Burundi, Tanzania, Zambia, Angola
Denmark;5792202;8.4;Maritime;Germany, Sweden, Norway
Djibouti;988000;27.1;Desert;Eritrea, Ethiopia, Somalia
Dominica;71986;25.0;Tropical;None
Dominican Republic;10847910;25.0;Tropical;Haiti
East Timor;1318445;25.8;Tropical;Indonesia
Ecuador;17643054;21.0;Various;Colombia, Peru
Egypt;102334404;22.0;Desert;Libya, Sudan, Israel, Palestine, Jordan, Saudi Arabia
El Salvador;6486201;25.7;Tropical;Honduras, Guatemala
Equatorial Guinea;1402985;24.7;Tropical;Gabon, Cameroon
Eritrea;3546421;25.0;Desert;Sudan, Ethiopia, Djibouti
Estonia;1326539;6.4;Continental;Russia, Latvia
Eswatini;1160164;20.7;Subtropical;Mozambique, South Africa
Ethiopia;114963588;20.0;Tropical;Eritrea, Sudan, South Sudan, Kenya, Somalia, Djibouti
Fiji;896445;25.9;Tropical;None
Finland;5542517;3.8;Continental;Norway, Sweden, Russia
France;67564251;11.0;Various;8 countries including Germany, Belgium, Switzerland, Italy, Spain
Gabon;2225734;25.5;Tropical;Equatorial Guinea, Cameroon, Republic of the Congo
Gambia;2416664;26.5;Tropical;Senegal
Georgia;3989175;12.8;Continental;Russia, Azerbaijan, Armenia, Turkey
Germany;83783945;9.6;Continental;9 countries including Denmark, Poland, Czech Republic, Austria, Switzerland, France, Belgium, Luxembourg, Netherlands
Ghana;31072945;27.0;Tropical;Burkina Faso, Ivory Coast, Togo
Greece;10423056;17.2;Mediterranean;Albania, North Macedonia, Bulgaria, Turkey
Grenada;112523;26.8;Tropical;None
Guatemala;17915567;23.0;Tropical;Mexico, Belize, Honduras, El Salvador
Guinea;13132792;26.0;Tropical;Senegal, Guinea-Bissau, Mali, Ivory Coast, Liberia, Sierra Leone
Guinea-Bissau;1968001;26.3;Tropical;Senegal, Guinea
Guyana;786552;25.0;Tropical;Suriname, Brazil, Venezuela
Haiti;11402533;25.9;Tropical;Dominican Republic
Honduras;9904607;25.0;Tropical;Guatemala, El Salvador, Nicaragua
Hungary;9660351;11.8;Continental;Slovakia, Ukraine, Romania, Serbia, Croatia, Slovenia, Austria
Iceland;366798;5.7;Maritime;None
India;1380004385;25.3;Various;7 countries including Pakistan, China, Nepal,Bhutan, Bangladesh, Myanmar, Laos, Afghanistan
Indonesia;276361783;26.0;Tropical;Timor-Leste, Malaysia, Papua New Guinea
Iran;83992949;16.8;Continental;Iraq, Turkey, Armenia, Azerbaijan, Turkmenistan, Afghanistan, Pakistan
Iraq;40222493;22.5;Desert;Iran, Turkey, Syria, Jordan, Saudi Arabia, Kuwait
Ireland;4937786;10.0;Maritime;United Kingdom
Israel;8655535;20.4;Mediterranean;Lebanon, Syria, Jordan, Egypt, Palestine
Italy;60461826;15.5;Mediterranean;6 countries including France, Switzerland, Austria, Slovenia
Jamaica;2961161;26.6;Tropical;None
Japan;126050804;16.1;Temperate;South Korea, Russia, China
Jordan;10203134;23.0;Desert;Israel, Syria, Iraq, Saudi Arabia
Kazakhstan;18776707;9.8;Continental;Russia, China, Kyrgyzstan, Uzbekistan, Turkmenistan
Kenya;53771296;24.5;Tropical;Ethiopia, South Sudan, Uganda, Tanzania, Somalia
Kiribati;119446;28.0;Tropical;None
Kuwait;4270571;26.6;Arid;Iraq, Saudi Arabia
Kyrgyzstan;6524195;9.0;Continental;Kazakhstan, Uzbekistan, Tajikistan, China
Laos;7275560;24.4;Tropical;China, Vietnam, Cambodia, Thailand, Myanmar
Latvia;1886198;6.9;Continental;Estonia, Lithuania, Russia, Belarus
Lebanon;6825442;21.1;Mediterranean;Syria, Israel
Lesotho;2142249;14.4;Subtropical;South Africa
Liberia;5057681;26.0;Tropical;Sierra Leone, Guinea, Ivory Coast
Libya;6871292;26.7;Desert;Tunisia, Algeria, Niger, Chad, Sudan, Egypt
Liechtenstein;38128;8.6;Continental;Switzerland, Austria
Lithuania;2722289;7.9;Continental;Latvia, Belarus, Poland, Russia
Luxembourg;625978;10.0;Maritime;Germany, Belgium, France
Madagascar;27691019;21.7;Tropical;None
Malawi;19129955;21.0;Tropical;Tanzania, Mozambique, Zambia
Malaysia;32365999;26.0;Tropical;Thailand, Indonesia, Brunei
Maldives;540542;28.0;Tropical;None
Mali;20250833;28.0;Saharan;Algeria, Niger, Burkina Faso, Ivory Coast, Guinea, Senegal, Mauritania
Malta;441543;19.9;Mediterranean;None
Marshall Islands;59190;28.0;Tropical;None
Mauritania;4649660;25.0;Desert;Western Sahara, Algeria, Mali, Senegal
Mauritius;1271768;23.6;Tropical;None
Mexico;128932753;21.4;Various;United States, Belize, Guatemala
Micronesia;548914;28.0;Tropical,None
Moldova;2657637;10.7;Continental;Romania, Ukraine
Monaco;39244;16.5;Mediterranean;France
Mongolia;3349743;0.7;Continental;Russia, China
Montenegro;628066;14.7;Mediterranean;Croatia, Bosnia and Herzegovina, Serbia, Albania, Kosovo
Morocco;36910558;20.0;Mediterranean;Algeria, Western Sahara, Spain
Mozambique;31255435;23.2;Tropical;Tanzania, Malawi, Zambia, Zimbabwe, South Africa, Eswatini
Myanmar;54409794;26.1;Tropical;India, Bangladesh, China, Laos, Thailand
Namibia;2586803;24.5;Desert;Angola, Zambia, Botswana, South Africa
Nauru;10834;27.0;Tropical;None
Nepal;29609623;15.0;Tropical;China, India
Netherlands;17173082;10.9;Maritime;Germany, Belgium
New Zealand;5120233;15.0;Maritime;None
Nicaragua;6624554;26.5;Tropical;Honduras, Costa Rica
Niger;24206636;27.0;Saharan;Algeria, Libya, Chad, Nigeria, Benin, Burkina Faso, Mali
Nigeria;211400708;27.0;Tropical;Niger, Chad, Cameroon, Benin
North Korea;25731165;11.0;Continental;South Korea, China, Russia
North Macedonia;2082958;13.4;Continental;Albania, Bulgaria, Greece, Serbia, Kosovo
Norway;5466347;4.7;Maritime;Sweden, Finland, Russia
Oman;5309703;27.0;Desert;United Arab Emirates, Saudi Arabia, Yemen
Pakistan;225199937;25.0;Various;Afghanistan, Iran, India, China
Palau;18092;28.0;Tropical;None
Palestine;5204145;22.0;Mediterranean;Israel, Jordan, Egypt
Panama;4314767;27.0;Tropical;Costa Rica, Colombia
Papua New Guinea;9189168;25.0;Tropical;Indonesia
Paraguay;7147556;23.0;Tropical;Bolivia, Brazil, Argentina
Peru;33499203;19.0;Various;Ecuador, Colombia, Brazil, Bolivia, Chile
Philippines;111046913;26.0;Tropical;Taiwan, Vietnam, Malaysia, Indonesia
Poland;37950802;8.6;Continental;Germany, Czech Republic, Slovakia, Ukraine, Belarus, Lithuania, Russia
Portugal;10191409;17.0;Mediterranean;Spain
Qatar;2832067;28.0;Desert;Saudi Arabia
Romania;19237691;11.0;Continental;Bulgaria, Serbia, Hungary, Ukraine, Moldova
Russia;145912025;2.8;Continental;18 countries including Norway, Finland, Estonia, Latvia, Belarus, Ukraine, Georgia, Kazakhstan, China
Rwanda;12952218;19.0;Tropical;Uganda, Tanzania, Burundi, Democratic Republic of the Congo
Saint Kitts and Nevis;53192;26.0;Tropical;None
Saint Lucia;184401;26.0;Tropical;None
Saint Vincent and the Grenadines;110947;26.0;Tropical;None
Samoa;199695;26.0;Tropical;None
San Marino;33931;16.0;Mediterranean;Italy
Sao Tome and Principe;220159;26.0;Tropical;None
Saudi Arabia;35340664;24.0;Desert;Jordan, Iraq, Kuwait, Qatar, United Arab Emirates, Oman, Yemen
Senegal;17310073;27.0;Tropical;Mauritania, Mali, Guinea, Guinea-Bissau, Gambia
Serbia;6963764;11.7;Continental;Hungary, Romania, Bulgaria, North Macedonia, Albania, Montenegro, Croatia, Bosnia and Herzegovina
Seychelles;98347;27.0;Tropical;None
Sierra Leone;8344767;27.0;Tropical;Guinea, Liberia
Singapore;5850343;27.0;Tropical;None
Slovakia;5468130;9.7;Continental;Czech Republic, Austria, Hungary, Ukraine, Poland
Slovenia;2146138;9.6;Continental;Italy, Austria, Hungary, Croatia
Solomon Islands;703969;27.0;Tropical;None
Somalia;17497208;26.0;Tropical;Djibouti, Ethiopia, Kenya
South Africa;60929935;17.0;Subtropical;Namibia, Botswana, Zimbabwe, Mozambique, Eswatini, Lesotho
South Korea;51322519;12.0;Temperate;North Korea, China
South Sudan;11193725;26.0;Tropical;Sudan, Ethiopia, Kenya, Uganda, Democratic Republic of the Congo, Central African Republic
Spain;46723749;16.0;Mediterranean;France, Portugal, Andorra, Gibraltar, Morocco
Sri Lanka;21803000;27.0;Tropical;India
Sudan;45278000;27.0;Desert;Egypt, Libya, Chad, Central African Republic, South Sudan, Ethiopia, Eritrea
Suriname;597927;26.0;Tropical;Guyana, Brazil, French Guiana
Sweden;10160173;6.0;Continental;Norway, Finland
Switzerland;8742149;8.0;Continental;Germany, France, Italy, Austria, Liechtenstein
Syria;18363092;23.0;Desert;Turkey, Iraq, Jordan, Israel, Lebanon
Taiwan;23824367;22.0;Subtropical;China
Tajikistan;9537645;9.0;Continental;China, Afghanistan, Uzbekistan, Kyrgyzstan
Tanzania;59734213;23.0;Tropical;Kenya, Uganda, Rwanda, Burundi, Democratic Republic of the Congo, Zambia, Malawi, Mozambique
Thailand;69799978;27.0;Tropical;Myanmar, Laos, Cambodia, Malaysia
Timor-Leste;1318442;26.0;Tropical;Indonesia
Togo;8278724;27.0;Tropical;Burkina Faso, Ghana, Benin
Tonga;105695;26.0;Tropical;None
Trinidad and Tobago;1394973;27.0;Tropical;None
Tunisia;11818619;20.0;Mediterranean;Algeria, Libya
Turkey;85042740;14.0;Continental;Greece, Bulgaria, Georgia, Armenia, Azerbaijan, Iran, Iraq, Syria
Turkmenistan;6031200;14.0;Continental;Kazakhstan, Uzbekistan, Afghanistan, Iran
Tuvalu;11792;28.0;Tropical;None
Uganda;45741000;21.0;Tropical;South Sudan, Kenya, Tanzania, Rwanda, Democratic Republic of the Congo
Ukraine;43733759;9.0;Continental;Belarus, Russia, Poland, Slovakia, Hungary, Romania, Moldova
United Arab Emirates;9994353;28.0;Desert;Oman, Saudi Arabia, Qatar
United Kingdom;68207114;10.0;Maritime;Ireland
United States;331002651;12.0;Various;Canada, Mexico
Uruguay;3473730;17.0;Temperate;Brazil, Argentina
Uzbekistan;33469203;12.0;Continental;Kazakhstan, Turkmenistan, Tajikistan, Kyrgyzstan, Afghanistan
Vanuatu;307145;26.0;Tropical;None
Vatican City;809;16.0;Mediterranean;Italy
Venezuela;28435940;26.0;Tropical;Colombia, Brazil, Guyana
Vietnam;97338579;24.0;Tropical;China, Laos, Cambodia
Yemen;29825968;26.0;Desert;Saudi Arabia, Oman
Zambia;18383955;21.0;Tropical;Tanzania, Malawi, Mozambique, Zimbabwe, Botswana, Namibia, Angola, Democratic Republic of the Congo
Zimbabwe;14862924;21.0;Tropical;South Africa, Botswana, Mozambique, Zambia
