KRAJ;LICZBA LUDNOSCI;SREDNIA TEMPERATURA;KLIMAT;SASIEDZI
Niger;25689966;28.4;Pustynny;Algieria, Benin, Burkina Faso, Czad, Libia, Mali, Nigeria
Nigeria;200963599;26.4;Tropikalny;Benin, Czad, Kamerun, Niger
Norwegia;5328216;1.1;Polarny;Finlandia, Rosja, Szwecja
Oman;4974993;26.6;Pustynny;Arabia Saudyjska, Zjednoczone Emiraty Arabskie, Jemen
Pakistan;216565318;26.3;Pustynny;Afganistan, Chiny, Indie, Iran
Panama;4246439;27.1;Zwrotnikowy;Kolumbia, Kostaryka
PapuaoNowa Gwinea;9 119 000;27.2;Tropikalny;Indonezja
Paragwaj;7 272 000;22.4;Zwrotnikowy;Argentyna, Boliwia, Brazylia
Peru;33 359 418;18.0;Tropikalny;Boliwia, Brazylia, Chile, Kolumbia, Ekwador
Polska;37 980 713;7.8;Kontynentalny;Bialorus, Czechy, Niemcy, Litwa, Rosja, Slowacja, Ukraina
Portugalia;10 295 000;17.0;srodziemnomorski;Hiszpania
Republika Poludniowej Afryki;59 308 690;17.8;Podzwrotnikowy;Botswana, Lesotho, Mozambik, Namibia, Suazi, Zimbabwe
Rosja;144 478 050;o5.2;Kontynentalny;Azerbejdzan, Bialorus, Chiny, Estonia, Finlandia, Gruzja, Kazachstan, Korea Polnocna, Lotwa, Litwa, Mongolia, Norwegia, Polska, Ukraina
Rumunia;19 506 114;11.0;Kontynentalny;Bulgaria, Moldawia, Serbia, Ukraina, Wegry
Rwanda;12 952 218;19.0;Zwrotnikowy;Burundi,  Tanzania, Uganda
Salwador;6 581 940;25.0;Tropikalny;Gwatemala, Honduras
Senegal;16 296 364;27.0;Saharyjski;Gambia, Gwinea, Gwinea-Bissau, Mauretania, Mali
Serbia;8 737 371;11.8;Kontynentalny;Albania, Bosnia i Hercegowina, Bulgaria, Chorwacja, Kosowo, Macedonia Polnocna, Moldawia, Rumunia, Wegry
Sierra Leone;8 105 313;27.0;Zwrotnikowy;Gwinea, Liberia
Slowacja;5 450 421;9.0;Kontynentalny;Austria, Czechy, Polska, Ukraina, Wegry
Slowenia;2 097 837;11.0;srodziemnomorski;Austria, Chorwacja, Wlochy, Wegry
Somalia;16 926 572;28.0;Zwrotnikowy;Dzibuti, Etiopia, Kenia
Sudan;44 907 053;26.0;Saharyjski;Czad, Egipt, Erytrea, Etiopia, Libia, Sudan Poludniowy, Uganda
Surinam;587 000;27.0;Tropikalny;Brazylia, Gujana, Gujana Francuska
Syria;18 284 407;22.0;srodziemnomorski;Irak, Izrael, Jordania, Liban, Turcja
Szwajcaria;8 632 200;7.2;Kontynentalny;Austria, Francja, Liechtenstein, Niemcy, Wlochy
Szwecja;10 379 295;3.0;Kontynentalny;Finlandia, Norwegia
Tadzykistan;9537645;8.6;Kontynentalny;Afganistan, Kirgistan, Uzbekistan
Tajlandia;69799978;27.1;Tropikalny monsun;Kambodza, Laos, Malezja, 
Tanzania;59734213;22.9;Tropikalny;Burundi, Dzibuti, Kenia, Malawi, , Mozambik, Rwanda, Uganda, Zambia
Timor Wschodni;1367250;26.2;Tropikalny;Indonezja
Togo;8278724;27.7;Tropikalny;Benin, Burkina Faso, Ghana
Tunezja;11818618;19.2;srodziemnomorski;Algieria, Libia
Turcja;83154997;13.7;srodziemnomorski;Armenia, Bulgaria, Grecja, Iran, Irak, Syria
Turkmenistan;5942089;15.8;Kontynentalny;Afganistan, Iran, Kazachstan, Uzbekistan
Uganda;47010100;23.5;Tropikalny; Kenia, Rwanda, Sudan, Tanzania
Ukraina;43493822;7.7;Kontynentalny;Bialorus, Czechy, Moldawia, Polska, Rosja, Rumunia, Slowacja, Wegry
Urugwaj;3469551;17.1;Morski;Argentyna, Brazylia
USA;332915073;12.5;Roznorodny; Kanada, Meksyk
Uzbekistan;33955722;15.8;Kontynentalny;Afganistan, Kazachstan, Kirgistan, Tadzykistan, Turkmenistan
Wenezuela;28421581;26.9;Tropikalny;Brazylia, Kolumbia
Wegry;9764000;10.9;Kontynentalny;Austria, Chorwacja, Rumunia, Serbia, Slowacja, Slowenia, Ukraina
Wielka Brytania;67802690;9.6;Morski;Irlandia, Francja, Belgia, Holandia, Niemcy, Dania
Wietnam;97338583;25.9;Tropikalny monsun;Kambodza, Chiny, Laos
Wybrzeze Kosci Sloniowej;28252505;27.1;Tropikalny;Burkina Faso, Ghana, Gwinea, Liberia, Mali
Zambia;18383955;21.8;Tropikalny;Angola, Malawi, Mozambik, Namibia, Tanzania, Zimbabwe
Zimbabwe;14862924;21.0;Tropikalny;Botswana, Mozambik, RPA, Zambia
Albania;2870324;24.0;Srodziemnomorski;Czarnogora, Grecja, Macedonia Polnocna, Serbia
Bosnia i Hercegowina;3516822;19.5;Kontynentalny;Chorwacja, Serbia, Czarnogora
Algieria;40400000;28.3;Pustynny;Tunezja, Libia, Niger, Mali, Mauretania, Maroko
Armenia;2968000;12.1;Kontynentalny;Azerbejdzan, Gruzja, Iran, Turcja
Kirgistan;6149000;14.4;Kontynentalny;Kazachstan, Uzbekistan, Tadzykistan, Chiny
Sahara Zachodnia;582463;29.7;Pustynny;Maroko, Mauretania, Algieria
Mauretania;4649660;28.5;Pustynny;Algieria, Sahara Zachodnia, Mali, Senegal
Bhutan;771608;15.0;Górski;Chiny, Indie
Irak;40150200;23.4;Pustynny;Kuwejt, Arabia Saudyjska, Jordania, Syria, Turcja, Iran
Chiny;1403500365;8.5;Różnorodny;Afganistan, Bhutan, Myanmar, Indie, Kazachstan, Kirgistan, Laos, Mongolia, Nepal, Korea Polnocna, Pakistan, Rosja, Tadzykistan, Wietnam
Bangladesz;166303498;26.8;Tropikalny;Indie, Myanmar
Czad;16877000;27.7;Saharyjski;Libia, Sudan, Republika Srodkowoafrykanska, Kamerun, Nigeria, Niger
Myanmar;54704000;25.0;Tropikalny;Bangladesz, Chiny, Indie, Laos, Tajlandia
Burkina Faso;20870000;28.3;Sawanna;Mali, Niger, Benin, Togo, Ghana, Wybrzeze Kosci Sloniowej, Mali
Gwinea;12414318;26.0;Tropikalny;Senegal, Gwinea-Bissau, Sierra Leone, Liberia, Wybrzeze Kosci Sloniowej, Mali, Gwinea Rownikowa
Gwinea-Bissau;1890900;26.6;Tropikalny;Senegal, Gwinea, Gwinea Rownikowa
Gwinea Rownikowa;1400000;25.4;Tropikalny;Kamerun, Gabon, Republika Srodkowoafrykanska, Gwinea-Bissau, Ekwador
Benin;12123000;27.5;Sawanna;Togo, Nigeria, Niger, Burkina Faso, Wybrzeze Kosci Sloniowej
Gambia;2100568;27.0;Tropikalny;Senegal
Katar;2832067;30.0;Pustynny;Arabia Saudyjska, Zjednoczone Emiraty Arabskie
Republika Srodkowoafrykanska;4844927;24.6;Sawanna;Sudan Poludniowy, Sudan, Czad, Kamerun, Kongo, Demokratyczna Republika Konga
Zjednoczone Emiraty Arabskie;9890400;28.8;Pustynny;Oman, Arabia Saudyjska, Katar
Jemen;28120000;27.0;Pustynny;Arabia Saudyjska, Oman
Ghana;30280811;27.5;Sawanna;Wybrzeze Kosci Sloniowej, Burkina Faso, Togo
Erytrea;5647168;26.4;Pustynny;Sudan, Etiopia, Dżibuti
Beliz;408487;26.0;Tropikalny;Gwatemala, Meksyk
Belize;398050;27.0;Tropikalny;Gwatemala, Meksyk
Gwatemala;16913503;22.0;Tropikalny;Meksyk, Belize, Honduras, Salwador
Honduras;9746117;25.6;Tropikalny;Gwatemala, Salwador, Nikaragua
Nikaragua;6284757;26.5;Tropikalny;Honduras, Kostaryka
Kostaryka;4953199;24.5;Tropikalny;Nikaragua, Panama
Gujana;782225;27.0;Tropikalny;Surinam, Brazylia, Wenezuela
Gujana Francuska;294071;26.0;Tropikalny;Brazylia, Surinam
Liechtenstein;38128;8.5;Kontynentalny;Austria, Szwajcaria
Wlochy;60461826;13.7;Śródziemnomorski;Francja, Szwajcaria, Austria, Slowenia
Andora;77072;13.5;Górzysty;Francja, Hiszpania
Monako;39186;16.8;Śródziemnomorski;Francja
Gibraltar;33701;18.9;Śródziemnomorski;Hiszpania
Moldawia;2653000;10.5;Kontynentalny;Rumunia, Ukraina
Azerbejdzan;10139175;13.5;Kontynentalny;Gruzja, Armenia, Iran, Turcja, Rosja
Libia;6871287;26.2;Pustynny;Algieria, Tunezja, Niger, Czad, Sudan, Egipt
Sudan Poludniowy;11190675;26.1;Sawanna;Sudan, Etiopia, Kenia, Uganda, Demokratyczna Republika Konga, Republika Srodkowoafrykanska
Brunei;459500;27.0;Tropikalny;Malezja
Kongo;86790567;24.5;Tropikalny;Republika Środkowoafrykańska, Sudan Południowy, Uganda, Rwanda, Burundi, Tanzania, Zambia, Angola, Republika Konga, Gabon, Kamerun, Wybrzeże Kości Słoniowej
